ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
AGO,Angola,total,Drinking water,2017,55.8429,16632359.12238,At least basic
AGO,Angola,total,Drinking water,2017,9.97566,2971171.4084,Limited service
AGO,Angola,total,Drinking water,2017,15.38629,4582682.06561,Surface water
AGO,Angola,total,Drinking water,2017,18.79514,5597981.4036,Unimproved
ARE,United Arab Emirates,total,Drinking water,2017,98.04551,9216419.78238,At least basic
ARE,United Arab Emirates,total,Drinking water,2017,1.90775,179331.18657,Limited service
ARE,United Arab Emirates,total,Drinking water,2017,0,0,Surface water
ARE,United Arab Emirates,total,Drinking water,2017,0.04674,4394.03105,Unimproved
ARM,Armenia,total,Drinking water,2017,13.43702,393765.20199,Basic service
ARM,Armenia,total,Drinking water,2017,0,0,Limited service
ARM,Armenia,total,Drinking water,2017,86.47635,2534146.34074,Safely managed service
ARM,Armenia,total,Drinking water,2017,0,0,Surface water
ARM,Armenia,total,Drinking water,2017,0.08662,2538.45727,Unimproved
AZE,Azerbaijan,total,Drinking water,2017,17.82141,1751414.7805,Basic service
AZE,Azerbaijan,total,Drinking water,2017,2.74442,269710.78386,Limited service
AZE,Azerbaijan,total,Drinking water,2017,73.56433,7229600.14578,Safely managed service
AZE,Azerbaijan,total,Drinking water,2017,0.97195,95519.11031,Surface water
AZE,Azerbaijan,total,Drinking water,2017,4.89789,481344.17956,Unimproved
BDI,Burundi,total,Drinking water,2017,60.83055,6608779.86962,At least basic
BDI,Burundi,total,Drinking water,2017,19.51628,2120296.63042,Limited service
BDI,Burundi,total,Drinking water,2017,4.77332,518585.23254,Surface water
BDI,Burundi,total,Drinking water,2017,14.87985,1616583.26742,Unimproved
BEN,Benin,total,Drinking water,2017,66.41473,7422305.14644,At least basic
BEN,Benin,total,Drinking water,2017,9.999,1117457.17533,Limited service
BEN,Benin,total,Drinking water,2017,3.78229,422697.35522,Surface water
BEN,Benin,total,Drinking water,2017,19.80398,2213232.32302,Unimproved
BFA,Burkina Faso,total,Drinking water,2017,47.88813,9191351.21268,At least basic
BFA,Burkina Faso,total,Drinking water,2017,27.75663,5327436.72568,Limited service
BFA,Burkina Faso,total,Drinking water,2017,1.28714,247045.20815,Surface water
BFA,Burkina Faso,total,Drinking water,2017,23.0681,4427548.85349,Unimproved
BHR,Bahrain,total,Drinking water,2017,1.01674,15175.66684,Basic service
BHR,Bahrain,total,Drinking water,2017,0,0,Limited service
BHR,Bahrain,total,Drinking water,2017,98.98326,1477408.33316,Safely managed service
BHR,Bahrain,total,Drinking water,2017,0,0,Surface water
BHR,Bahrain,total,Drinking water,2017,0,0,Unimproved
BWA,Botswana,total,Drinking water,2017,90.33771,2070234.14535,At least basic
BWA,Botswana,total,Drinking water,2017,6.58047,150802.11815,Limited service
BWA,Botswana,total,Drinking water,2017,1.49901,34352.21304,Surface water
BWA,Botswana,total,Drinking water,2017,1.5828,36272.52346,Unimproved
CIV,Côte d'Ivoire,total,Drinking water,2017,36.31984,8823814.99076,Basic service
CIV,Côte d'Ivoire,total,Drinking water,2017,6.30697,1532263.3681,Limited service
